Name,City,Street_address,Salary,Application_date,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
Corey Herrera,Garrettburgh,32952 Elizabeth Key Apt. 655,45524.97,2018-03-20,37,male,2,own,little,rich,2100,18,radio/TV,bad
Jonathan Franklin,Katieview,517 Rodriguez Pines Apt. 192,53186.33,2018-01-06,37,male,2,own,little,rich,1225,10,domestic appliances,good
Jerry Molina,New Jennifer,39814 Thomas Ridges,75667.7,2018-12-09,24,male,2,own,little,moderate,458,9,radio/TV,good
Shari Guzman,Lake Sylviastad,0590 Sharon Orchard Suite 304,28864.31,2018-10-15,30,male,3,own,quite rich,,2333,30,radio/TV,good
Barbara Wiggins,Brittanyberg,4755 Beth Lake Suite 405,26817.58,2018-03-24,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
James Smith,East Yolanda,4566 Pope Forge Apt. 381,45544.83,2018-11-13,44,male,1,own,little,moderate,6204,18,repairs,good
Patricia Hull,West Tracy,7970 Jonathan Street,88437.01,2018-09-06,24,male,2,rent,moderate,little,6187,30,car,good
Joshua Wiley,Port Kelsey,77547 Geoffrey Lodge,46328.64,2018-11-03,58,female,1,free,little,little,6143,48,car,bad
Seth Franklin,Lindseyborough,44408 Cory Ridge,75178.63,2018-07-28,35,female,3,own,little,,1393,11,car,good
Emily Garcia,Lake Alfred,8498 Jacobs Trail Apt. 907,33768.95,2018-12-10,39,male,2,own,quite rich,,2299,36,radio/TV,good
Allison Dawson,Port Kevinview,29807 Patricia Rapids,73788.44,2018-10-07,23,female,0,rent,quite rich,little,1352,6,car,good
Andrew Moyer,Lake Miguelbury,711 Jason Coves,84254.2,2018-10-27,39,male,1,own,little,,7228,11,car,good
Gabriel Summers,Johnsonhaven,336 John View Apt. 298,55049.82,2018-05-14,28,female,2,own,moderate,,2073,12,radio/TV,good
William Love,North Jonathan,81797 Kari Street Apt. 554,32662.28,2018-05-19,29,male,1,own,,moderate,2333,24,furniture/equipment,good
Brandon Wilson,Francesland,29097 Mitchell Crossroad Apt. 007,74145.36,2018-02-14,30,male,3,own,little,moderate,5965,27,car,good
Frederick Swanson,West Andrew,4162 Mccoy Villages,52141.22,2018-10-13,25,male,2,own,little,,1262,12,radio/TV,good
Stephen Jones,Lisastad,87529 Martin Centers Suite 605,97943.9,2018-10-06,31,male,2,own,,,3378,18,car,good
Taylor Mason,South Virginia,884 White Alley Suite 285,70596.21,2018-01-31,57,male,2,free,little,moderate,2225,36,car,bad
Bethany Baldwin,East Catherine,7413 Carly Shoals Apt. 058,83221.53,2018-07-27,26,male,1,own,,,783,6,car,good
Lydia Mitchell,Lindsaystad,6612 Amanda Springs,50455.25,2018-06-14,52,male,3,own,,moderate,6468,12,radio/TV,bad
Daniel Mahoney,Jonathanbury,169 Jake Row Suite 286,31780.69,2018-08-06,31,female,2,own,little,,9566,36,radio/TV,good
Jennifer Taylor,Montgomerymouth,3045 Diane Hill Suite 313,70753.76,2018-07-30,23,female,3,own,little,rich,1961,18,car,good
Amy Young,Camerontown,503 Tammy Ville,93094.97,2018-12-24,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
Sara Donaldson,North Adamville,2386 Erica Turnpike Suite 366,61613.93,2018-02-14,27,male,2,own,little,moderate,1391,9,business,good
Kevin Duncan,Port Brendatown,8604 Robert Points,93586.63,2018-04-12,50,male,2,own,,moderate,1537,15,radio/TV,good
Amy Lyons,Linville,7803 Sanchez Streets,40338.86,2018-01-02,61,male,3,free,little,moderate,1953,36,business,bad
Jessica Johnson,Griffithchester,42177 Ward Port,80825.05,2018-02-11,25,male,2,own,little,moderate,14421,48,business,bad
Ryan Lane,Shermanfurt,40920 Jackson Field Apt. 830,97528.42,2018-10-19,26,female,2,own,little,,3181,24,radio/TV,good
Patrick Burnett,North Tracie,74223 John Lane Suite 003,94971.27,2018-08-07,48,male,2,own,,,5190,27,repairs,good
Stephen Merritt PhD,Meyerfurt,1378 Seth Forest,64409.37,2018-07-18,29,female,2,own,little,,2171,12,radio/TV,good
Timothy Miller,Gabrielland,3211 Rogers Fort,73677.3,2018-08-25,22,male,2,own,rich,moderate,1007,12,car,good
Sean Dominguez,North Meganhaven,06206 Scott Mountain,41485.99,2018-10-18,37,male,2,free,little,,1819,36,education,bad
Robert Walker,Hughesborough,48093 Duran Plains Suite 310,49875.11,2018-10-15,25,female,2,own,,,2394,36,radio/TV,good
Anna Hancock DVM,Hollandfurt,8937 Carla Fords,90010.74,2018-06-14,30,female,2,own,little,,8133,36,car,good
Deborah Lyons,West Lori,99983 Richard Union Suite 697,47596.92,2018-01-19,46,male,1,rent,,,730,7,radio/TV,good
Steven Rice,East Michelleside,988 Kristine Crest,49379.06,2018-09-18,51,male,3,free,little,little,1164,8,vacation/others,good
Dr. James Burke,Bradleyfurt,8306 Diaz Prairie,61226.06,2018-04-06,41,female,1,own,little,moderate,5954,42,business,good
Christine Oconnor,Stephanieview,9820 Alexis Crescent,42020.29,2018-06-24,40,male,3,own,,little,1977,36,education,bad
Richard Black,North Brianshire,396 Meghan Ways,46513.8,2018-06-29,66,male,3,free,little,little,1526,12,car,good
Linda Nelson,North Aaron,791 Garrett Ports Apt. 957,84790.35,2018-06-30,34,male,2,own,little,little,3965,42,radio/TV,bad
Michael Kelly,Lake Mariashire,39741 Joel Key Suite 474,94061.01,2018-08-24,51,male,2,own,little,moderate,4771,11,radio/TV,good
Samantha Evans,Rossview,0378 Charles Plains Suite 652,47818.52,2018-06-20,39,male,1,own,,,9436,54,car,good
Matthew Mitchell,East Daleside,927 Torres Park Apt. 419,99040.47,2018-12-22,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
Earl Park,Rebeccaberg,338 Richard Vista,33529.42,2018-12-05,44,female,2,own,,,5943,24,radio/TV,bad
Connor Faulkner,East Kelly,8328 Butler Crossing,32954.75,2018-04-13,47,male,2,own,quite rich,,1213,15,radio/TV,good
Michael Jones,West Megan,436 Robert Cliff,60149.71,2018-02-05,24,female,1,rent,moderate,,1568,18,business,good
Angelica Mcguire,West Michelechester,1152 Brandon Park Suite 972,46446.35,2018-01-27,58,female,1,own,little,little,1755,24,vacation/others,good
Kimberly Lester,Nathanhaven,895 Sims Squares,31175.9,2018-11-26,52,male,1,own,little,little,2315,10,radio/TV,good
Diane Guzman,Port Renee,0191 Christine Mills Suite 978,46936.4,2018-06-17,29,female,3,own,little,,1412,12,business,good
Daniel Perry,Aliceburgh,1740 Matthew Drives Apt. 491,83860.18,2018-10-17,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
Stephen Dunlap,Halltown,98236 King Spring Apt. 924,90658.33,2018-07-19,47,male,2,free,moderate,moderate,12612,36,education,bad
Shelly Campbell,Port Kevin,07127 Anthony Village,73747.89,2018-04-12,30,male,3,own,moderate,little,2249,18,car,good
Gregg Henderson,Bennetthaven,4827 Andrea Forest Suite 459,67892.02,2018-10-10,28,male,2,own,little,little,1108,12,repairs,bad
Tracy Bernard,Wilsonburgh,084 Samuel Mills Apt. 954,87314.34,2018-12-30,56,male,2,own,little,,618,12,radio/TV,good
Jeffery Le,South Haileychester,096 Laura Summit Suite 752,57920.41,2018-09-26,54,male,2,own,little,little,1409,12,car,good
Andrew Harrington,Danafort,83666 David Overpass Apt. 018,93144.31,2018-08-06,33,female,1,own,,,797,12,radio/TV,bad
Angela James,East Ruben,824 Lewis Hills,46012.78,2018-01-29,20,male,2,rent,,rich,3617,24,furniture/equipment,good
Matthew Harris,Annaton,1447 Ryan Dale,39796.67,2018-10-04,54,male,2,own,rich,moderate,1318,12,car,good
Amanda Smith,Janeborough,879 Hancock Crescent,37830.74,2018-05-30,58,male,2,rent,little,moderate,15945,54,business,bad
Ralph Boyd,Ernestmouth,97068 Cox Brook Suite 002,65415.67,2018-03-04,61,female,2,own,,,2012,12,education,good
Danielle Adams,Wendymouth,41622 Alan Walks,55845.93,2018-02-06,34,male,2,own,moderate,moderate,2622,18,business,good
Thomas Parker Jr.,Port Hollyhaven,81275 Hancock Inlet,63462.54,2018-06-30,36,male,2,own,little,moderate,2337,36,radio/TV,good
Melanie Hoffman,North Jennifer,71166 Brown Route Apt. 424,37503.17,2018-09-01,36,male,3,rent,,moderate,7057,20,car,good
Michael Johnson,Jasonfurt,0165 Perez Light Apt. 425,28334.72,2018-10-22,41,male,1,rent,moderate,,1469,24,car,good
Ashley Chase,North Misty,35741 Proctor Coves Suite 949,31885.53,2018-12-29,24,male,2,rent,little,moderate,2323,36,radio/TV,good
Michael Smith,Port Misty,95891 Gomez Brooks,75528.22,2018-04-22,24,female,2,own,little,,932,6,radio/TV,good
Tiffany Gordon,Anthonyfurt,38510 Edwards Lodge Suite 101,62392.34,2018-07-04,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
Grant Brown,Vincentville,63875 Young Loop Suite 824,57321.08,2018-07-30,26,male,2,rent,,,2445,12,car,good
Thomas Harrington,Sarahstad,5027 Anthony Spring Apt. 702,74347.27,2018-01-30,39,male,3,own,little,moderate,11938,24,vacation/others,bad
Nathaniel Stewart DDS,Haileyland,006 Brian Corners Apt. 216,46527.15,2018-07-13,39,male,3,own,little,,6458,18,car,bad
Elizabeth Black,Mendeztown,92387 Mccarty Heights,33947.38,2018-12-01,32,male,2,own,little,moderate,6078,12,car,good
Kathleen Bowers,North Amandafort,629 Crosby Spur Suite 944,83548.18,2018-01-22,30,female,2,own,,little,7721,24,furniture/equipment,good
Aaron Velazquez,Alexanderton,99185 Barbara Views,34726.84,2018-08-08,35,male,2,own,quite rich,moderate,1410,14,business,good
Arthur Goodwin,South Martha,8084 Barrett Green,88427.92,2018-04-10,31,male,2,own,moderate,moderate,1449,6,business,good
Steven Alvarez,Amandaport,4950 David Lodge Suite 501,25270.71,2018-01-03,23,female,2,rent,little,rich,392,15,education,good
Deborah Chan,Murrayfurt,1443 Petty Course,65023.2,2018-12-09,28,male,1,rent,little,moderate,6260,18,car,good
Patrick Kennedy,Petersonborough,67759 Vincent Summit,78237.79,2018-05-31,25,female,2,own,little,,7855,36,car,bad
Patrick Oneill,Port Jennifer,27111 Robinson Ridge,57043.83,2018-06-13,35,male,2,own,quite rich,little,1680,12,radio/TV,good
Mary Lowe,Carrfurt,89555 Butler Estate,31019.49,2018-11-28,47,male,2,own,,,3578,48,radio/TV,good
Tina Hernandez,Kristihaven,75187 Howard Pike,42480.57,2018-05-07,30,female,3,own,,little,7174,42,radio/TV,bad
Tyler Hall,North Lindafort,8844 Jason Mission,27307.39,2018-06-05,27,female,2,rent,,little,2132,10,furniture/equipment,good
Shannon Sullivan,Jennaport,469 Cunningham Fort,45348.95,2018-06-25,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
Darlene Olson,Juliemouth,76302 Clayton Extension Suite 855,42132.54,2018-06-07,36,male,3,own,quite rich,moderate,2366,12,car,good
Marissa Ross,Kimberlyhaven,4717 Kelly Village,79736.2,2018-06-23,25,female,2,own,little,little,1835,21,radio/TV,bad
Steven Mitchell,North Adrienne,23695 Aaron Row Suite 829,40807.13,2018-04-02,41,female,3,rent,little,,3868,24,car,good
Michael Johnson,South Daisyfort,3276 Brittany Centers,56273.07,2018-03-02,24,male,1,rent,little,,1768,12,furniture/equipment,good
Brandy Rivera,Port Amy,0933 Nicholas Pine,76708.7,2018-01-23,63,male,2,free,little,rich,781,10,car,good
Leslie Lang,Lake Seantown,023 Kristin Alley Suite 756,38136.46,2018-01-26,27,female,2,rent,,moderate,1924,18,furniture/equipment,bad
Amy Foster,South Jason,70521 Graves Station,54311.7,2018-05-30,30,male,2,own,little,little,2121,12,car,good
Tim Russell,Alexanderville,967 Stacy Summit Suite 771,53814.46,2018-02-24,40,male,1,own,little,little,701,12,radio/TV,good
Jerry Johnson,Reginafurt,599 Allen Hollow Apt. 962,80741.57,2018-03-19,30,male,2,own,little,moderate,639,12,repairs,bad
Chelsea Williams,Davidland,87454 Nicole Passage,28044.71,2018-02-14,34,male,3,own,little,moderate,1860,12,car,good
Emily Murphy,Robinsonview,0428 Vanessa Court,57738.98,2018-10-01,29,female,2,own,little,little,3499,12,car,bad
Maurice Cross,Port Tammy,959 Stephen Club Suite 080,87965.3,2018-09-21,24,female,2,own,,moderate,8487,48,car,good
Lauren Taylor,New Kari,929 Sharon Lake Apt. 228,38319.74,2018-03-14,29,male,2,own,little,little,6887,36,education,bad
Patricia Shepherd,Schneidertown,489 Emily Glen,41730.41,2018-11-16,27,male,1,own,little,,2708,15,furniture/equipment,good
Megan Gonzalez,West John,5020 Jose Canyon,36668.79,2018-04-06,47,male,2,free,little,,1984,18,furniture/equipment,good
Ashley Friedman,New Jeremyville,073 Adams Lodge Apt. 200,84484.24,2018-03-26,21,female,2,own,moderate,,10144,60,radio/TV,good
Sharon Walker,Reginaldside,93563 Lee Inlet Apt. 606,67434.68,2018-06-03,38,female,2,own,,,1240,12,radio/TV,good
Darius Huang,East Jerryborough,822 Nicole Grove,75419.58,2018-07-09,27,male,2,own,rich,,8613,27,car,good
William Calhoun,Port Wendyhaven,89281 Chase Estate Apt. 314,29234.2,2018-06-16,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
Heather Dyer,Port Jacksonborough,9651 Martinez Bypass,81895.64,2018-09-24,35,male,2,own,,moderate,2728,15,radio/TV,good
Aaron Crawford,Alexisberg,3388 Wells Via,51882.22,2018-08-19,44,female,1,rent,little,rich,1881,12,radio/TV,good
Christine Howell,Ramosport,459 Mendez Drive Suite 069,79537.49,2018-12-04,27,male,0,own,rich,rich,709,6,car,good
Cynthia Barber,West Jerry,6002 Gregory Mountain Suite 466,62873.92,2018-08-18,30,female,3,own,little,moderate,4795,36,radio/TV,good
Jeffrey Hammond,Stephanieborough,97257 Jamie Drives Suite 227,83161.23,2018-03-20,27,male,3,own,little,little,3416,27,radio/TV,good
Karen Warren,New Pamelaburgh,501 Andrea Inlet,69967.8,2018-03-26,22,male,2,own,little,little,2462,18,furniture/equipment,bad
Amanda Garcia,East Shannon,3415 Amanda Plain,82494.34,2018-07-08,23,female,2,own,little,,2288,21,furniture/equipment,good
David Wright,Mathewburgh,325 Diaz Rapids Apt. 539,72655.55,2018-07-13,30,male,2,own,moderate,moderate,3566,48,business,good
Kelsey Owens PhD,West Stevenport,61632 Hodge Via Suite 715,93475.62,2018-08-18,39,female,2,own,little,little,860,6,car,good
Ricky Thomas,East Olivia,92785 Kayla Tunnel Suite 682,68378.38,2018-09-24,51,female,2,own,moderate,,682,12,car,good
Brooke Shaw,New Emmabury,09204 Megan Pines,56715.84,2018-03-06,28,male,2,own,little,little,5371,36,furniture/equipment,good
Gregory Marshall,Beasleyfort,0865 Mcfarland Stream Suite 808,26168.12,2018-08-07,46,male,2,own,rich,,1582,18,radio/TV,good
Bryan Mason,Cindystad,41362 Margaret Via Suite 682,77273.93,2018-11-12,42,male,2,free,moderate,,1346,6,radio/TV,good
Joshua Lewis,Cookefurt,151 Adam Flats Suite 652,34226.54,2018-02-25,38,male,2,own,little,,1924,10,radio/TV,good
Tonya Hutchinson,South Walterburgh,9584 Leach Island,62351.22,2018-11-01,24,male,2,own,little,rich,5848,36,radio/TV,good
Judith Hensley,South Connor,465 Darrell View Apt. 331,47559.62,2018-12-16,29,female,2,rent,rich,moderate,7758,24,car,good
Richard Hess,East Angelahaven,3077 Banks Glens Apt. 652,91183.53,2018-07-23,36,male,3,rent,moderate,moderate,6967,24,business,good
Thomas Nguyen,Port Edgarside,1886 Dickson Highway,65360.16,2018-11-02,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
Mark Mays,Davisfurt,40153 James Village Suite 403,83862.72,2018-05-25,48,male,2,own,moderate,little,1288,9,repairs,good
Andrew Walls,Youngside,266 Anderson Dale,51361.66,2018-08-10,45,male,1,own,little,little,339,12,education,good
Leslie Ortega,Robinstad,70302 Christopher Isle,32943.55,2018-04-28,38,male,2,own,moderate,moderate,3512,24,car,good
Cassandra Goodman,East Lucasmouth,11598 Connie Flats,40971.5,2018-03-08,34,male,1,own,,,1898,6,radio/TV,good
Joe Leon,Danielside,16096 Alvarado Lane Apt. 392,61428.0,2018-11-25,36,male,2,own,moderate,,2872,24,radio/TV,good
Jack Richardson,Lake Brandontown,45923 Rebecca Wells,27350.69,2018-02-26,30,female,2,own,little,,1055,18,car,good
Susan Smith,South Troybury,1604 Bridges Skyway,27738.07,2018-05-02,36,male,2,own,quite rich,,1262,15,domestic appliances,good
Jill Johnson,East Frankmouth,4833 Alexander Isle,33525.01,2018-05-02,70,male,3,free,little,moderate,7308,10,car,good
Vanessa Wilkinson DDS,Frankchester,065 Rebecca Avenue,26920.77,2018-01-06,36,male,2,own,quite rich,,909,36,car,good
Alex Carter,North Christina,62648 Glenn Point Suite 716,94235.72,2018-10-07,32,male,2,own,quite rich,,2978,6,furniture/equipment,good
Susan Mcdaniel,South Sierramouth,6301 Robert Corner Suite 876,53701.42,2018-04-21,33,female,2,own,little,little,1131,18,furniture/equipment,bad
Gwendolyn Mitchell,Joelfurt,476 Brown Fords,85878.96,2018-07-10,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
Dominique Gibson,Sloanberg,5571 Martin Garden,95859.46,2018-11-09,25,female,2,rent,little,,3972,24,furniture/equipment,good
Laura Harris,Harmonview,97470 Shelton Stream,81159.75,2018-04-03,31,male,2,own,little,moderate,1935,24,business,bad
Stephanie Rodriguez,West Dianeland,97575 Moran Parkways Suite 593,35634.6,2018-07-21,33,male,2,rent,little,little,950,15,car,bad
Sierra Bridges,West Joseph,2654 Gonzales Station Suite 878,60652.33,2018-01-15,26,female,2,own,little,,763,12,furniture/equipment,good
Amber Powell,East Marctown,5287 Angela Groves,54997.9,2018-01-26,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
Ricky Johnson,Steelehaven,3981 Bentley Burgs,92101.97,2018-03-23,33,male,2,own,little,moderate,1414,8,radio/TV,good
Kristi Downs,East Kevinville,5052 Martin Tunnel,59036.67,2018-12-31,26,male,2,own,little,little,3414,21,education,bad
Jeremy Villanueva,Michaelland,23006 Adams Run Apt. 475,28283.27,2018-05-09,53,female,3,own,,,7485,30,car,bad
John Bell,Lake Laurie,960 Paula Way,49946.47,2018-02-25,42,male,2,own,little,little,2577,12,furniture/equipment,good
Jennifer Rivera,Harmonview,03134 Elizabeth Ways Suite 436,83476.22,2018-11-13,52,male,2,own,quite rich,little,338,6,radio/TV,good
Adriana Goodman,Fergusonport,684 Natalie Turnpike Apt. 807,64386.23,2018-02-10,31,male,3,rent,little,,1963,12,radio/TV,good
Tracy Snyder,North Jessica,94972 Angela Village Suite 652,31554.69,2018-12-31,65,male,2,own,little,little,571,21,car,good
Richard Torres,West Joanborough,2843 White Walk Apt. 217,33709.35,2018-03-24,28,male,2,own,little,,9572,36,business,bad
Mr. Stephen Goodman,Simonside,4914 Melissa Village Apt. 697,76846.34,2018-06-02,30,male,3,own,little,moderate,4455,36,business,bad
Shawn Larsen,Browntown,12662 Wendy Ramp Suite 759,25587.86,2018-11-20,40,male,1,own,,little,1647,21,car,bad
Kent Butler,West Bradley,189 Richard Cape Suite 140,34161.6,2018-11-01,50,male,2,own,rich,,3777,24,furniture/equipment,good
Nathaniel Gonzalez,Owenville,3506 Jo Dale Apt. 535,71712.17,2018-09-01,36,male,2,own,little,moderate,884,18,car,bad
Kurt Thomas,Bryanstad,86894 Timothy Rapid Suite 782,77273.25,2018-01-02,31,male,2,own,little,,1360,15,radio/TV,good
Latoya Anderson,Lake Shannon,7442 Desiree Turnpike Suite 852,51494.48,2018-05-15,74,female,3,free,little,moderate,5129,9,car,bad
Nicholas Grant,Westborough,9512 Henry Mission,59920.82,2018-05-28,68,male,0,free,little,moderate,1175,16,car,good
Martha Lane,Davidstad,297 Gregory Knolls Apt. 893,59034.14,2018-11-08,20,male,2,own,moderate,little,674,12,radio/TV,bad
Carol Morrison,Port Kyleshire,3002 Ruiz Islands Apt. 605,28963.76,2018-03-09,33,female,2,own,little,moderate,3244,18,furniture/equipment,good
Maria Moreno,Cranechester,89847 Russell Spurs,69951.78,2018-02-04,54,male,3,own,rich,,4591,24,business,bad
Mariah Williams,Alexfort,509 Christopher Circles Suite 821,96751.23,2018-10-02,34,male,1,free,moderate,moderate,3844,48,business,bad
Whitney Edwards,Mooreshire,2533 Mccormick Skyway Suite 148,79394.5,2018-12-14,36,male,2,own,little,moderate,3915,27,business,bad
Jasmine Weiss,Allenland,5922 Sonia Field Suite 289,86272.41,2018-04-26,29,male,2,rent,little,,2108,6,radio/TV,good
Elizabeth Smith,New Spencerfurt,64026 Paul Knoll,46120.38,2018-04-04,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
Michael White,Romanmouth,3952 Andrew Common Apt. 303,34186.31,2018-10-18,34,female,3,own,little,moderate,1501,9,education,bad
Melissa Cruz,Wangton,7804 Marilyn Neck Suite 489,76305.84,2018-09-13,28,female,2,own,little,,1382,6,radio/TV,good
Sheila Woods,Lake Natashafurt,160 Jose Path,53727.01,2018-11-11,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
Donna Orozco,North Bethmouth,35853 Diaz Street,38627.46,2018-05-17,36,male,2,free,,moderate,2760,24,car,good
Karen Adams,New Betty,817 Elizabeth Keys,90329.82,2018-05-08,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
Luke Mora,Michaelside,373 Jackson Underpass,49566.93,2018-06-04,52,male,2,own,quite rich,,936,9,education,good
Tracy Erickson,Johnnystad,71304 Mendoza Ford Apt. 070,68139.6,2018-09-07,27,male,1,own,little,little,1168,12,car,good
Connie Nelson,Port Mary,495 Garrett Junctions,47197.53,2018-12-16,26,male,2,own,little,,5117,27,business,good
Kyle Cruz,Robertmouth,3450 Laurie Greens,51647.3,2018-07-15,21,male,2,rent,little,little,902,12,education,bad
Randy Choi,Cookbury,7639 Kristin Mews,34946.31,2018-11-19,38,male,1,own,little,,1495,12,car,good
Amber Lee,Rachelton,72499 Cross Rue,43176.21,2018-03-19,38,male,3,free,little,little,10623,30,car,good
David Griffin,East Mollyfurt,7158 Patricia Tunnel,36337.87,2018-04-11,43,male,2,own,little,,1935,12,furniture/equipment,good
Sara Hampton,South Charlesstad,14032 Alicia Mountain Apt. 988,51861.27,2018-04-07,26,male,2,own,little,moderate,1424,12,domestic appliances,good
Sue Norton,North Nicholasmouth,1532 Lee Station Apt. 056,82334.96,2018-06-01,21,male,1,own,little,little,6568,24,business,good
Angela Wolf,West Brandi,124 Jessica Trace,26513.0,2018-11-26,55,male,2,own,rich,,1413,12,car,good
Sean Boyer,Larryside,078 Williams Trail Apt. 605,90182.42,2018-07-24,33,male,2,own,,,3074,9,radio/TV,good
Jessica Hull,Kimberlyfurt,341 Duran Walk Suite 285,35099.45,2018-07-02,45,female,1,own,,,3835,36,radio/TV,good
